137	Buy Strides Shasun, Axis Bank, Reliance Industries	STAR	buy	-1
666	Like Indiabulls Real Estate, target Rs 98-100	INDIABULLS	buy	98.0
137	Buy Manappuram Fin, Century Ply, DLF, Atul, YES Bank	YESBANK	buy	-1
906	Buy Mahindra & Mahindra, says Sudarshan Sukhani	MAHINDCIE	buy	-1
666	Exit ICICI Bank at around Rs 250-255	ICICIBANK	sell	250.0
137	Buy Century Textiles, M&M; Financial, Bajaj Finance	M&M	buy	-1
666	Hold Tata Power, says Prakash Gaba	PRAKASH	buy	-1
137	Buy PVR; sell Godrej Industries, Havells India	PVR	sell	-1
906	Buy Hindustan Unilever, Larsen & Toubro, Petronet LNG	PETRONET	buy	-1
137	Buy Sadbhav Engineering, Motherson Sumi, NTPC	SADBHAV	buy	-1
137	Here are Ashwani Gujral & Chandan Taparia's top trading ideas	KANDAGIRI	hold	-1
137	Sell Adani Ports, Indo Count Industries; buy Tata Motors	TATAMOTORS	sell	-1
137	Sell Ambuja Cements, HDFC; buy Axis Bank	HDFCBANK	sell	-1
906	Buy Godrej Consumer, M&M; Financial, UltraTech	M&M	buy	-1
137	Buy GSFC, TVS Motor, Zee Entertainment	GSFC	buy	-1
137	Buy UPL, Hero MotoCorp, Biocon	UPL	buy	-1
906	Buy State Bank of India, real estate stocks	BANKINDIA	buy	-1
666	Buy Infosys; IndusInd Bank may hit Rs 1125, NTPC Rs 155	NTPC	buy	155.0
137	Buy Avanti Feeds, Muthoot Finance	MUTHOOTFIN	buy	-1
137	Buy Vedanta, Indraprastha Gas, Adani Transmission	VEDL	buy	-1
906	Buy Asian Paints, Titan, Century Tex; short Just Dial	TITAN	buy	-1
666	Nifty may move to 8250-8260	NIFTY	sell	8250.0
906	Buy NMDC, advises Sudarshan Sukhani	NMDC	buy	-1
906	Prefer Dr Reddy's, Sun Pharma, SBI, HDFC Bank, HDFC	HDFCBANK	buy	-1
906	Buy HDFC, Colgate, State Bank of India	HDFCBANK	buy	-1
137	Buy SREI Infra, Inox Leisure, CONCOR	INOXLEISUR	buy	-1
137	Buy IndusInd Bank, JSW Energy, Bharat Forge	JSWENERGY	buy	-1
137	Buy Bharat Financial, Hero Moto, M&M; Financial	M&M	buy	-1
137	Here are Ashwani Gujral & JK Jain's top trading ideas	JAINSTUDIO	hold	-1
137	Buy IndusInd Bank, M&M; Financial, ITC; sell HCL Tech	M&M	sell	-1
906	Buy HDFC, Hindalco Industries, Marico	MARICO	buy	-1
137	Buy DLF, Tata Motors, Dabur, Aurobindo Pharma	TATAMOTORS	buy	-1
906	Sell Just Dial on every rally, buy DLF	JUSTDIAL	sell	-1
137	Buy Tata Motors, Sobha may test Rs 350-360	TATAMOTORS	buy	350.0
906	Buy ITC, Dr Reddy's Laboratories	ITC	buy	-1
137	Buy HUL, M&M;, Orient Cement, GMDC, Future Lifestyle	ORIENTCEM	buy	-1
906	Market experts give trading picks to trade for today	FMNL	hold	-1
666	Resistance for Nifty at 8175-8250	NIFTY	sell	8175.0
137	Buy Strides Shasun, Axis Bank, Reliance Industries	STAR	buy	-1
666	Like Indiabulls Real Estate, target Rs 98-100	INDIABULLS	buy	98.0
137	Buy Manappuram Fin, Century Ply, DLF, Atul, YES Bank	YESBANK	buy	-1
906	Buy Mahindra & Mahindra, says Sudarshan Sukhani	MAHINDCIE	buy	-1
666	Exit ICICI Bank at around Rs 250-255	ICICIBANK	sell	250.0
137	Buy Century Textiles, M&M; Financial, Bajaj Finance	M&M	buy	-1
666	Hold Tata Power, says Prakash Gaba	PRAKASH	buy	-1
